id,title,abstract,speaker,session_time,difficulty,category,created_at,twitter_id,company,start_to_end,assumed_visitor,execution_phase,presentation_method,whether_it_can_be_published
1433,Simplify Cloud Native Security with Trivy,クラウド環境への移行に伴い必要なセキュリティ対策も大きく変化しました。しかしこれらの対策には多くのツールを組み合わせて使う必要があり、導入・学習コストが高くなっています。そこで本発表では、OSSであるTrivyを用いて特に攻撃へと繋がりやすい依存ライブラリの脆弱性や脆弱なインフラ設定、誤ってコミットされたパスワード等の検知を一括で行う方法について説明します。また、実際にCloudFormationやHelmチャートをスキャンすることでデプロイ前に危険な設定を検知するデモを行います。,Teppei Fukuda,40,初級者,,2022-05-27 16:39:48 +0900,knqyf263,Aqua Security Software Ltd.,13:05-13:45,"developer - システム開発, operator/sys-admin - 運用管理/システム管理","Dev/QA（開発環境）, PoC（検証）, Production（本番環境）",オンライン登壇,All okay - スライド・動画両方ともに公開可
1442,Istioを活用したセキュアなマイクロサービスの実現: アプリ透過型のユーザ及びサービス間の認証認可,マイクロサービス型システムのセキュリティを高める上で、サービスやそれを構成するインスタンスの粒度での細かな認証認可は重要です。しかし、それには実装や管理に多くの手間がかかります。そこで、本講演ではOSSのサービスメッシュ実装であるIstioを用いて、アプリから透過的に認証認可を行う方法を紹介します。具体的にはmTLSを用いたサービス間認証、外部認証基盤を用いたユーザ認証、IstioとOpen Policy Agent(OPA)との連携方法、及び、KeycloakとOPAを連携させたWeb GUIのユーザ認証等を解説します。,Takaya Ide,40,中級者,,2022-06-09 18:28:26 +0900,ido_kara_deru,"Hitachi, Ltd.",13:05-13:45,"architect - システム設計, developer - システム開発, operator/sys-admin - 運用管理/システム管理","PoC（検証）, Production（本番環境）",オンライン登壇,All okay - スライド・動画両方ともに公開可
1445,SBOMを利用したソフトウェアサプライチェーンの保護,"近年、サプライチェーンセキュリティが大きな話題となっており、著名なnpm, rust, pythonパッケージに対する攻撃も観測されています。これらの対策には自社で開発したソフトウェアだけではなく、依存するOSSを含めた可視化と脆弱性検知が必要になります。
本講演では、プロダクトを安全に開発/運用するための方法として、SBOMと呼ばれるソフトウェアの可視化方法についてご紹介します。SBOMとは何か、どのような課題を解決するのかを紹介した上で、SBOMを生成し脆弱性検知する方法をデモを交えて説明します。",Masahiro Fujimura,40,初級者,,2022-06-11 02:50:40 +0900,kumagami331,OWASP,13:05-13:45,"developer - システム開発, app-developer - アプリケーション開発, operator/sys-admin - 運用管理/システム管理","Dev/QA（開発環境）, PoC（検証）, Production（本番環境）",オンライン登壇,All okay - スライド・動画両方ともに公開可
1466,GitHub、Azure、Defenderで実現するDevSecOpsワークフロー,"マイクロサービスアーキティクチャの採用、コンテナでの開発、運用が盛り上がる中で、セキュリティという側面も当然の事ながら考える必要があります。
このセッションでは、Azure ADを中心としたゼロトラスト環境を軸に、GitHub、Microsoft Defender、Azure Kubernetes Serviceなどを組み合わせ、セキュアなコードの維持、コンテナ環境の維持、稼働環境、開発環境の維持、アクセルコントロールを、どのように構成して、DevSecOpsを進めるのか？について、開発のワークフローに沿って、ご紹介します。",Kazumi Hirose,40,中級者,,2022-07-01 12:12:35 +0900,kazumihirose,日本マイクロソフト株式会社,14:05-14:45,"architect - システム設計, developer - システム開発, app-developer - アプリケーション開発, operator/sys-admin - 運用管理/システム管理, CxO/biz - ビジネス層","Dev/QA（開発環境）, PoC（検証）, Production（本番環境）",事前収録,All okay - スライド・動画両方ともに公開可
1469,HashiCorp道で考える、クラウドネイティブの本質を捉えたセキュリティとは？,"セキュリティって、難しいですよね。ましてやクラウドネイティブなセキュリティって一体何だろうって、悩んでしまうことも多いんじゃないかと思います。色々なセキュリティプロダクトを導入するも「本当にこれでいいんだろうか？」という不安が拭えない人もいるでしょう。それは、クラウドネイティブの本質に迫れていないからかもしれません。
そんな人たちにご紹介したいのが、HashiCorp道(The Tao of HashiCorp)です。TerraformやVaultといった人気のOSSを開発しているHashiCorpですが、プロダクトデザインの基礎として用いている考え方です。
本セッションでは、クラウド時代に合わせて誕生したHashiCorpの哲学を理解し、本質を捉えたセキュリティ対策を行えるよう解説していきます。",Kazuto Kusama,40,初級者,,2022-07-04 23:55:30 +0900,jacopen,HashiCorp Japan株式会社,14:05-14:45,"architect - システム設計, developer - システム開発, operator/sys-admin - 運用管理/システム管理","Dev/QA（開発環境）, PoC（検証）, Production（本番環境）",事前収録,All okay - スライド・動画両方ともに公開可
1470,クラウドネイティブアプリケーション保護プラットフォームによる 脅威検知とコンテナWAFによるセキュリティ対策,"DXを支えるアプリケーション開発と配信は、より一層クラウドネイティブインフラ上で実行されています。
クラウドネイティブ環境の複数ポイントを狙った洗練された攻撃を想定した場合、
インフラレイヤーからアプリケーションまでのセキュリティ保護が重要となります。

クラウドネイティブ環境の各レイヤーの脅威をプロアクティブに検出し、
より高度なセキュリティ対策を実現する仕組みとして、F5 が提供する
Threat Stack Cloud Security PlatformとNGINX App Protectをご紹介します。",Takaaki Suzuki / Tomonori Takada,40,初級者,,2022-07-05 11:23:18 +0900,"",F5ネットワークス合同会社 NGINXグループ,14:05-14:45,"architect - システム設計, developer - システム開発, app-developer - アプリケーション開発, operator/sys-admin - 運用管理/システム管理","Dev/QA（開発環境）, Production（本番環境）",事前収録,All okay - スライド・動画両方ともに公開可
1439,Kubernetes Service Account As Multi-Cloud Identity,"多くのクラウドプロバイダの提供するManaged Kubernetesサービスでは、Kubernetes Service Accountから、クラウドAPIを自動的に認証する機能を提供しています。EKSであればIAM Roles for Service Account(IRSA), GKEであればWorkload Ideneity等です。これらの機能を使えば、アプリケーションはクラウドSDKを呼び出すだけで、適切な権限をもつ、自動的に払い出された一時的なクレデンシャルを使って、シームレスかつ安全にクラウドAPIにアクセスすることが可能です。

しかし、これがオンプレミスで稼働しているようなUnmanagedなKubernetesであればどうでしょうか。永続的なAPI キーをクラウドプロバイダで発行し、それらを各アプリケーションPodにマウントすることでクラウドAPIの認証を実現していることが多いのではないでしょうか。永続的なAPIキーはそれ自体がセキュリティリスクとなりますし、リスク低減のためにはローテーションの運用負荷も存在します。アプリケーションが利用するAPIキーが複数存在したり、複数のクラウドプロバイダとやり取りする環境だと、これらのリスク・運用負荷はより大きくなります。

本セッションでは、KubernetesのServiceAccountIssuerDiscoveryの機能と、各種クラウドプロバイダが提供しているIdentity Federationの機能を活用して、永続的なAPI Keyを利用せず、KubernetesのService Accountを複数クラウド共通のIdentityとして利用可能にする方法について共有します。これによって、クラウドプロバイダ側でKubernetes Service Accountへの権限を付与するだけで、シームレスかつ安全に、複数クラウドAPIにアクセスできる環境を実現できます。",Shingo Omura,40,中級者,,2022-06-08 13:31:14 +0900,everpeace,"Preferred Networks, Inc.",15:05-15:45,"architect - システム設計, operator/sys-admin - 運用管理/システム管理",Production（本番環境）,事前収録,All okay - スライド・動画両方ともに公開可
1461,eBPFで実現するコンテナランタイムセキュリティ,eBPFはLinuxカーネルが提供する機能の一つで、近年、ネットワークやObservabilityといった文脈で注目を集めています。本セッションでは、セキュリティの観点から、eBPFを利用することで実現できることについて整理した上で、コンテナランタイムセキュリティを実現する具体的なeBPFツールとしてFalco、Tracee、Tetragonを紹介します。,TERAOKA Keisuke,40,中級者,,2022-06-13 18:32:24 +0900,toda_kk,クラスメソッド株式会社,15:05-15:45,"developer - システム開発, app-developer - アプリケーション開発, operator/sys-admin - 運用管理/システム管理","PoC（検証）, Production（本番環境）",オンライン登壇,All okay - スライド・動画両方ともに公開可
1436,なぜあなたのプロジェクトのDevSecOpsは形骸化するのか,昨今、DevSecOpsを導入する企業が非常に増えています。しかし「実はツールの導入をしただけで、セキュリティを改善するまで至っていない」というお声を聞くことが多いことも事実です。DevSecOpsにはツールによって使いやすい・使いにくいの差はありますが、銀の弾丸は存在しません。本当に意味のあるDevSecOpsを実現するには、現状の自組織の課題と、DevSecOpsによってどのようなセキュアな開発体験を目指すのかを、明確に意識する必要があります。このアプローチのヒントになるお話を、複数のクライアントへのDevSecOps導入経験を元にして紹介していきます。,Masaya Tahara,40,初級者,,2022-06-06 19:08:17 +0900,"",アクセンチュア株式会社,15:05-15:45,"architect - システム設計, developer - システム開発, app-developer - アプリケーション開発, operator/sys-admin - 運用管理/システム管理, CxO/biz - ビジネス層","Dev/QA（開発環境）, Production（本番環境）",事前収録,All okay - スライド・動画両方ともに公開可
1465,GKE Security Overview - GKE のセキュリティ関連機能を一挙紹介,Kubernetes クラスタやその上で動くワークロードに対する脅威は多様化しており、クラスタ コンポーネントだけではなくコンテナ アプリケーションやソフトウェア サプライチェーンも含めた多層的な防御が求められます。本セッションでは、既に Google Kubernetes Engine (GKE) をご利用のユーザーやこれから本格的に GKE を利用される予定の方々に向けて、GKE を安全に運用するために有用なサービス/機能をご紹介します。基本的なものからあまり知られていないマイナーなものまで幅広く取り扱います。,Kazuki Uchima,40,初級者,,2022-07-01 08:29:11 +0900,kkuchima,グーグル・クラウド・ジャパン合同会社,16:05-16:45,"architect - システム設計, developer - システム開発, app-developer - アプリケーション開発, operator/sys-admin - 運用管理/システム管理","Dev/QA（開発環境）, PoC（検証）, Production（本番環境）",事前収録,NG - いずれも公開不可（来場者限定のコンテンツ）
